# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/N/slate/amsaini/reference_genome/hsa.gff3" "-t" "miRNA,miRNA_primary_transcript" "-g" "Name" "-o" "/N/slate/amsaini/assignment_2/counts/all_samples_miRNA_count.txt" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269872_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269873_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269874_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269875_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269876_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269877_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269878_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269879_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269880_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269881_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269882_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269883_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269872_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269873_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269874_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269875_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269876_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269877_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269878_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269879_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269880_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269881_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269882_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269883_sorted.bam
hsa-miR-192-5p	chr11	64891203	64891223	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-192-3p	chr11	64891159	64891180	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-194-2	chr11	64891355	64891439	-	85	0	1	1	0	0	2	1	2	3	2	0	0
hsa-miR-194-3p	chr11	64891368	64891389	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6750	chr11	64898363	64898437	-	75	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6750-5p	chr11	64898409	64898432	-	24	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6750-3p	chr11	64898363	64898383	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6749	chr11	64902387	64902455	-	69	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-5p	chr11	64902429	64902450	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-3p	chr11	64902387	64902407	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6879	chr11	65018505	65018570	+	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6879-5p	chr11	65018510	65018531	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6879-3p	chr11	65018550	65018570	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6751	chr11	65129916	65129978	-	63	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6751-5p	chr11	65129951	65129973	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6751-3p	chr11	65129916	65129936	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-612	chr11	65444458	65444557	+	100	3	3	3	0	0	1	1	0	0	0	0	0
hsa-miR-612	chr11	65444473	65444497	+	25	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4690	chr11	65636310	65636369	+	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4690-5p	chr11	65636310	65636331	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4690-3p	chr11	65636348	65636368	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4489	chr11	65649192	65649253	+	62	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4489	chr11	65649197	65649217	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3163	chr11	66934434	66934506	-	73	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3163	chr11	66934476	66934497	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6860	chr11	67045643	67045708	+	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6860	chr11	67045683	67045704	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6752	chr11	67490245	67490315	+	71	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6752-5p	chr11	67490250	67490271	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6752-3p	chr11	67490295	67490315	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7113	chr11	68032864	68032922	+	59	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7113-5p	chr11	68032865	68032885	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7113-3p	chr11	68032900	68032922	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4691	chr11	68033897	68033981	+	85	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-5p	chr11	68033910	68033932	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-3p	chr11	68033949	68033971	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6753	chr11	68044794	68044957	+	164	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-5p	chr11	68044794	68044815	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-3p	chr11	68044932	68044953	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3164	chr11	69083176	69083258	+	83	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3164	chr11	69083185	69083206	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548k	chr11	70283955	70284070	+	116	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548k	chr11	70283986	70284007	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3664	chr11	70872270	70872368	-	99	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3664-5p	chr11	70872327	70872348	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3664-3p	chr11	70872289	70872310	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6754	chr11	71473503	71473568	+	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6754-5p	chr11	71473508	71473529	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6754-3p	chr11	71473546	71473567	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3165	chr11	72072228	72072302	-	75	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3165	chr11	72072272	72072293	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-139	chr11	72615063	72615130	-	68	0	0	0	0	2	0	2	0	2	2	4	1
hsa-miR-139-5p	chr11	72615102	72615124	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-139-3p	chr11	72615066	72615088	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4692	chr11	72783530	72783592	+	63	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4692	chr11	72783566	72783587	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548al	chr11	74399237	74399333	+	97	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548al	chr11	74399301	74399322	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4696	chr11	74720268	74720337	-	70	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4696	chr11	74720307	74720328	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-326	chr11	75335092	75335186	-	95	0	0	0	0	0	1	0	0	2	0	0	0
hsa-miR-326	chr11	75335108	75335127	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-708	chr11	79402022	79402109	-	88	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-708-5p	chr11	79402077	79402099	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-708-3p	chr11	79402032	79402053	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5579	chr11	79422169	79422226	-	58	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5579-5p	chr11	79422206	79422226	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5579-3p	chr11	79422169	79422190	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4300	chr11	81890741	81890836	-	96	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4300	chr11	81890751	81890768	-	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6755	chr11	86278333	86278398	+	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-5p	chr11	86278338	86278359	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-3p	chr11	86278377	86278398	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3166	chr11	88176502	88176593	+	92	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3166	chr11	88176561	88176583	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4490	chr11	90555774	90555857	-	84	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4490	chr11	90555785	90555806	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1261	chr11	90869121	90869202	-	82	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1261	chr11	90869180	90869198	-	19	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1304	chr11	93733674	93733764	-	91	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1304-5p	chr11	93733724	93733745	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1304-3p	chr11	93733691	93733712	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548l	chr11	94466495	94466580	-	86	0	0	1	0	2	0	0	0	0	0	1	0
hsa-miR-548l	chr11	94466545	94466566	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1260b	chr11	96341438	96341526	+	89	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1260b	chr11	96341447	96341465	+	19	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3920	chr11	101519820	101519905	-	86	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3920	chr11	101519834	101519855	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4693	chr11	103849906	103849980	+	75	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	chr11	103849915	103849937	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-3p	chr11	103849951	103849973	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4491	chr11	111347757	111347824	+	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4491	chr11	111347802	111347823	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-34b	chr11	111512938	111513021	+	84	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34b-5p	chr11	111512950	111512972	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34b-3p	chr11	111512987	111513008	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-34c	chr11	111513439	111513515	+	77	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34c-5p	chr11	111513451	111513473	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34c-3p	chr11	111513484	111513505	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4301	chr11	113450023	113450088	-	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4301	chr11	113450059	113450078	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6716	chr11	118644000	118644079	+	80	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-5p	chr11	118644015	118644034	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-3p	chr11	118644048	118644069	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4492	chr11	118910708	118910787	+	80	0	0	3	0	1	0	0	3	0	0	2	0
hsa-miR-4492	chr11	118910765	118910781	+	17	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6756	chr11	119312950	119313012	-	63	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6756-5p	chr11	119312985	119313007	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6756-3p	chr11	119312950	119312969	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-125b-1	chr11	122099757	122099844	-	88	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125b-5p	chr11;chr21	122099809;16590253	122099830;16590274	-;+	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125b-1-3p	chr11	122099769	122099790	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-2	chr11	122146522	122146593	-	72	1	1	2	6	1	0	4	0	0	3	0	0
hsa-let-7a-5p	chr11;chr22;chr9	122146568;46112752;94175962	122146589;46112773;94175983	-;+;+	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-2-3p	chr11	122146523	122146544	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-10526	chr11	122152103	122152156	-	54	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10526-3p	chr11	122152103	122152122	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-100	chr11	122152229	122152308	-	80	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	chr11	122152275	122152296	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-3p	chr11	122152240	122152261	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4493	chr11	123381440	123381512	-	73	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4493	chr11	123381441	123381461	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3167	chr11	126988458	126988542	-	85	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3167	chr11	126988468	126988489	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6090	chr11	128522390	128522449	+	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6090	chr11	128522430	128522448	+	19	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-8052	chr11	130666735	130666803	+	69	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8052	chr11	130666745	130666766	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4697	chr11	133898504	133898581	-	78	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4697-5p	chr11	133898551	133898572	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4697-3p	chr11	133898506	133898529	-	24	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3649	chr12	1660315	1660380	-	66	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3649	chr12	1660316	1660334	-	19	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-200c	chr12	6963699	6963766	+	68	13	5	17	0	12	2	10	23	10	3	0	3
hsa-miR-200c-5p	chr12	6963703	6963724	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200c-3p	chr12	6963742	6963764	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-141	chr12	6964097	6964191	+	95	31	24	56	22	49	8	18	22	24	16	10	8
hsa-miR-141-5p	chr12	6964113	6964134	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-141-3p	chr12	6964155	6964176	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-3	chr12	9239467	9239551	-	85	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1244	chr12;chr12;chr2;chr5	9239472;12112006;231713368;118974640	9239497;12112031;231713393;118974665	-;+;+;+	104	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-4	chr12	12111952	12112036	+	85	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-613	chr12	12764649	12764743	+	95	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-613	chr12	12764709	12764728	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-614	chr12	12915829	12915918	+	90	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-614	chr12	12915882	12915904	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3974	chr12	17673299	17673394	+	96	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3974	chr12	17673308	17673330	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-920	chr12	24212421	24212495	+	75	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-920	chr12	24212471	24212490	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4302	chr12	25874020	25874079	-	60	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4302	chr12	25874052	25874069	-	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7851	chr12	42323700	42323859	-	160	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7851-3p	chr12	42323740	42323761	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4698	chr12	47187812	47187891	+	80	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4698	chr12	47187860	47187882	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4494	chr12	47364186	47364269	-	84	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4494	chr12	47364197	47364218	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6505	chr12	48132797	48132867	+	71	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6505-5p	chr12	48132800	48132821	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6505-3p	chr12	48132847	48132867	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1291	chr12	48654444	48654530	-	87	1	1	3	0	1	1	1	0	1	3	2	0
hsa-miR-1291	chr12	48654494	48654517	-	24	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4701	chr12	48771975	48772037	-	63	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-5p	chr12	48772014	48772035	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-3p	chr12	48771980	48771999	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1293	chr12	50234142	50234212	-	71	4	3	2	1	3	1	4	2	4	2	2	0
hsa-miR-1293	chr12	50234182	50234203	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-9898	chr12	52898889	52898984	-	96	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-9898	chr12	52898903	52898924	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6757	chr12	53056944	53057012	+	69	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-5p	chr12	53056949	53056970	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-3p	chr12	53056990	53057011	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-196a-2	chr12	53991738	53991847	+	110	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196a-5p	chr12;chr17	53991762;48632532	53991783;48632553	+;-	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196a-3p	chr12	53991799	53991820	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-615	chr12	54033950	54034045	+	96	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-615-5p	chr12	54033967	54033988	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-615-3p	chr12	54034010	54034031	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3198-2	chr12	54231397	54231476	-	80	2	0	0	0	0	0	1	1	0	0	0	1
hsa-miR-3198	chr12;chr22	54231407;17764190	54231428;17764211	-;-	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-148b	chr12	54337216	54337314	+	99	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-148b-5p	chr12	54337240	54337261	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-148b-3p	chr12	54337278	54337299	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1228	chr12	57194504	57194576	+	73	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-5p	chr12	57194504	57194524	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	chr12	57194555	57194574	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6758	chr12	57512688	57512750	+	63	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-5p	chr12	57512693	57512715	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-3p	chr12	57512731	57512750	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-616	chr12	57519163	57519259	-	97	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-616-5p	chr12	57519223	57519244	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-616-3p	chr12	57519183	57519204	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6759	chr12	57748618	57748682	-	65	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-5p	chr12	57748656	57748677	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-3p	chr12	57748618	57748639	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-26a-2	chr12	57824609	57824692	-	84	12	7	13	4	9	0	28	26	25	39	5	4
hsa-miR-26a-5p	chr12;chr3	57824658;37969413	57824679;37969434	-;+	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-2-3p	chr12	57824620	57824641	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6125	chr12	62260359	62260454	+	96	0	0	0	1	0	1	1	0	0	1	0	0
hsa-miR-6125	chr12	62260418	62260437	+	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7i	chr12	62603686	62603769	+	84	26	26	61	15	37	10	32	37	27	22	9	2
hsa-let-7i-5p	chr12	62603691	62603712	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7i-3p	chr12	62603747	62603768	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-10527	chr12	63823663	63823727	+	65	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10527-5p	chr12	63823663	63823685	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548c	chr12	64622509	64622605	+	97	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548c-5p	chr12	64622533	64622554	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548c-3p	chr12	64622569	64622590	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-548z	chr12	64622509	64622605	-	97	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548z	chr12	64622530	64622552	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6074	chr12	66023620	66023726	-	107	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6074	chr12	66023650	66023669	-	20	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6502	chr12	66251082	66251157	+	76	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6502-5p	chr12	66251091	66251112	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6502-3p	chr12	66251128	66251148	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1279	chr12	69273157	69273218	-	62	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1279	chr12	69273188	69273204	-	17	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3913-1	chr12	69584722	69584823	-	102	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3913-5p	chr12;chr12	69584744;69584780	69584765;69584801	+;-	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3913-3p	chr12;chr12	69584744;69584780	69584765;69584801	-;+	44	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3913-2	chr12	69584723	69584822	+	100	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1252	chr12	79419257	79419321	+	65	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-5p	chr12	79419261	79419282	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-3p	chr12	79419296	79419317	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-617	chr12	80832533	80832629	-	97	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-617	chr12	80832593	80832614	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-618	chr12	80935736	80935833	-	98	0	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-618	chr12	80935796	80935818	-	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4699	chr12	81158388	81158461	+	74	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4699-5p	chr12	81158397	81158418	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4699-3p	chr12	81158433	81158454	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3059	chr12	86745068	86745149	-	82	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3059-5p	chr12	86745113	86745136	-	24	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3059-3p	chr12	86745079	86745100	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-5700	chr12	94561789	94561859	+	71	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5700	chr12	94561794	94561815	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7844	chr12	94571231	94571352	-	122	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-7844-5p	chr12	94571306	94571327	-	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-492	chr12	94834398	94834513	+	116	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-492	chr12	94834427	94834449	+	23	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-331	chr12	95308420	95308513	+	94	14	4	10	11	23	12	4	5	4	0	6	4
hsa-miR-331-5p	chr12	95308445	95308466	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-331-3p	chr12	95308480	95308500	+	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3685	chr12	95309923	95309984	+	62	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3685	chr12	95309928	95309949	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1251	chr12	97491909	97491978	+	70	0	0	0	0	0	0	0	0	0	0	0	0
